num-of-cylinders,horsepower,peak-rpm,city-mpg,highway-mpg,price
4,111,5000,21,27,13495
4,111,5000,21,27,16500
6,154,5000,19,26,16500
4,102,5500,24,30,13950
5,115,5500,18,22,17450
5,110,5500,19,25,15250
5,110,5500,19,25,17710
5,110,5500,19,25,18920
5,140,5500,17,20,23875
4,101,5800,23,29,16430
4,101,5800,23,29,16925
6,121,4250,21,28,20970
6,121,4250,21,28,21105
6,121,4250,20,25,24565
6,182,5400,16,22,30760
6,182,5400,16,22,41315
6,182,5400,15,20,36880
3,48,5100,47,53,5151
4,70,5400,38,43,6295
4,70,5400,38,43,6575
4,68,5500,37,41,5572
4,68,5500,31,38,6377
4,102,5500,24,30,7957
4,68,5500,31,38,6229
4,68,5500,31,38,6692
4,68,5500,31,38,7609
4,102,5500,24,30,8558
4,88,5000,24,30,8921
4,145,5000,19,24,12964
4,58,4800,49,54,6479
4,76,6000,31,38,6855
4,60,5500,38,42,5399
4,76,6000,30,34,6529
4,76,6000,30,34,7129
4,76,6000,30,34,7295
4,76,6000,30,34,7295
4,86,5800,27,33,7895
4,86,5800,27,33,9095
4,86,5800,27,33,8845
4,86,5800,27,33,10295
4,101,5800,24,28,12945
4,100,5500,25,31,10345
4,78,4800,24,29,6785
4,90,5000,24,29,11048
6,176,4750,15,19,32250
6,176,4750,15,19,35550
12,262,5000,13,17,36000
4,68,5000,30,31,5195
4,68,5000,31,38,6095
4,68,5000,31,38,6795
4,68,5000,31,38,6695
4,68,5000,31,38,7395
2,101,6000,17,23,10945
2,101,6000,17,23,11845
2,101,6000,17,23,13645
2,135,6000,16,23,15645
4,84,4800,26,32,8845
4,84,4800,26,32,8495
4,84,4800,26,32,10595
4,84,4800,26,32,10245
4,64,4650,36,42,10795
4,84,4800,26,32,11245
4,120,5000,19,27,18280
4,72,4200,31,39,18344
5,123,4350,22,25,25552
5,123,4350,22,25,28248
5,123,4350,22,25,28176
5,123,4350,22,25,31600
8,155,4750,16,18,34184
8,155,4750,16,18,35056
8,184,4500,14,16,40960
8,184,4500,14,16,45400
4,175,5000,19,24,16503
4,68,5500,37,41,5389
4,68,5500,31,38,6189
4,68,5500,31,38,6669
4,102,5500,24,30,7689
4,116,5500,23,30,9959
4,88,5000,25,32,8499
4,145,5000,19,24,12629
4,145,5000,19,24,14869
4,145,5000,19,24,14489
4,88,5000,25,32,6989
4,88,5000,25,32,8189
4,116,5500,23,30,9279
4,116,5500,23,30,9279
4,69,5200,31,37,5499
4,55,4800,45,50,7099
4,69,5200,31,37,6649
4,69,5200,31,37,6849
4,69,5200,31,37,7349
4,69,5200,31,37,7299
4,69,5200,31,37,7799
4,69,5200,31,37,7499
4,69,5200,31,37,7999
4,69,5200,31,37,8249
4,97,5200,27,34,8949
4,97,5200,27,34,9549
6,152,5200,17,22,13499
6,152,5200,17,22,14399
6,152,5200,19,25,13499
6,160,5200,19,25,17199
6,200,5200,17,23,19699
6,160,5200,19,25,18399
4,97,5000,19,24,11900
4,95,4150,28,33,13200
4,97,5000,19,24,12440
4,95,4150,25,25,13860
4,95,5000,19,24,15580
4,95,4150,28,33,16900
4,95,5000,19,24,16695
4,95,4150,25,25,17075
4,97,5000,19,24,16630
4,95,4150,28,33,17950
4,142,5600,18,24,18150
4,68,5500,37,41,5572
4,102,5500,24,30,7957
4,68,5500,31,38,6229
4,68,5500,31,38,6692
4,68,5500,31,38,7609
4,88,5000,24,30,8921
4,145,5000,19,24,12764
4,143,5500,19,27,22018
6,207,5900,17,25,32528
6,207,5900,17,25,34028
6,207,5900,17,25,37028
4,116,5500,23,31,9295
4,116,5500,23,31,9895
4,116,5500,21,28,11850
4,110,5250,21,28,12170
4,110,5250,21,28,15040
4,110,5250,21,28,15510
4,160,5500,19,26,18150
4,160,5500,19,26,18620
4,69,4900,31,36,5118
4,73,4400,26,31,7053
4,73,4400,26,31,7603
4,82,4800,32,37,7126
4,82,4400,28,33,7775
4,94,5200,26,32,9960
4,82,4800,24,25,9233
4,111,4800,24,29,11259
4,82,4800,28,32,7463
4,94,5200,25,31,10198
4,82,4800,23,29,8013
4,111,4800,23,23,11694
4,62,4800,35,39,5348
4,62,4800,31,38,6338
4,62,4800,31,38,6488
4,62,4800,31,37,6918
4,62,4800,27,32,7898
4,62,4800,27,32,8778
4,70,4800,30,37,6938
4,70,4800,30,37,7198
4,56,4500,34,36,7898
4,56,4500,38,47,7788
4,70,4800,38,47,7738
4,70,4800,28,34,8358
4,70,4800,28,34,9258
4,70,4800,29,34,8058
4,70,4800,29,34,8238
4,112,6600,26,29,9298
4,112,6600,26,29,9538
4,116,4800,24,30,8449
4,116,4800,24,30,9639
4,116,4800,24,30,9989
4,116,4800,24,30,11199
4,116,4800,24,30,11549
4,116,4800,24,30,17669
4,92,4200,29,34,8948
4,73,4500,30,33,10698
4,92,4200,27,32,9988
4,92,4200,27,32,10898
4,92,4200,27,32,11248
6,161,5200,20,24,16558
6,161,5200,19,24,15998
6,156,5200,20,24,15690
6,156,5200,19,24,15750
4,52,4800,37,46,7775
4,85,5250,27,34,7975
4,52,4800,37,46,7995
4,85,5250,27,34,8195
4,85,5250,27,34,8495
4,68,4500,37,42,9495
4,100,5500,26,32,9995
4,90,5500,24,29,11595
4,90,5500,24,29,9980
5,110,5500,19,24,13295
4,68,4500,33,38,13845
4,88,5500,25,31,12290
4,114,5400,23,28,12940
4,114,5400,23,28,13415
4,114,5400,24,28,15985
4,114,5400,24,28,16515
4,162,5100,17,22,18420
4,162,5100,17,22,18950
4,114,5400,23,28,16845
4,160,5300,19,25,19045
6,134,5500,18,23,21485
6,106,4800,26,27,22470
4,114,5400,19,25,22625
